DocId,Namespace,Type,Member,browser,linux,osx,win
M:Microsoft.SqlServer.Server.SqlDataRecord.#ctor(Microsoft.SqlServer.Server.SqlMetaData[]),Microsoft.SqlServer.Server,SqlDataRecord,.ctor(SqlMetaData[]),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_FieldCount,Microsoft.SqlServer.Server,SqlDataRecord,get_FieldCount(),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.String),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(String),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetBoolean(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetByte(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.GetBytes(System.Int32,System.Int64,System.Byte[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"GetBytes(Int32, Int64, Byte[], Int32, Int32)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetChar(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetChar(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.GetChars(System.Int32,System.Int64,System.Char[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"GetChars(Int32, Int64, Char[], Int32, Int32)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDataTypeName(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDataTypeName(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTime(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTimeOffset(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTimeOffset(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDecimal(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDouble(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetFieldType(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetFieldType(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetFloat(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetFloat(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetGuid(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt16(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt32(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt64(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetName(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetName(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetOrdinal(System.String),Microsoft.SqlServer.Server,SqlDataRecord,GetOrdinal(String),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBinary(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBinary(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBoolean(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlByte(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBytes(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBytes(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlChars(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlChars(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDateTime(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDecimal(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDouble(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlFieldType(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlFieldType(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlGuid(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt16(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt32(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt64(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlMetaData(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlMetaData(Int32),X,,,
